Datum,Check in,Vertrek,Check uit,Bestemming,Af,Bij,Transactie,Kl,Product,Prive/ Zakelijk,Opmerking
11-12-2018,22:02,Amsterdam Centraal,22:44,Leiden Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
14-12-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
14-12-2018,13:53,Leiden Centraal,14:19,Schiphol Airport,"€3,50","€0,00",Reis,2,Dal Voordeel,,
14-12-2018,14:33,Schiphol Airport,14:44,Amsterdam Zuid,"€1,20","€0,00",Reis,2,Dal Voordeel,,
14-12-2018,15:46,Amsterdam Zuid,15:58,Schiphol Airport,"€1,70","€0,00",Reis,2,Dal Voordeel,,
18-12-2018,20:53,Schiphol Airport,21:15,Leiden Centraal,"€3,50","€0,00",Reis,2,Dal Voordeel,,
20-12-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
20-12-2018,16:28,Leiden Centraal,17:11,Amsterdam Centraal,"€9,10","€0,00",Reis,2,Dal Voordeel,,
20-12-2018,20:01,Amsterdam Lelylaan,20:43,Leiden Centraal,"€4,80","€0,00",Reis,2,Dal Voordeel,,
08-01-2019,,,,,"€0,00","€50,00",Saldo opladen,,,,
08-01-2019,12:41,Leiden Centraal,12:58,Den Haag Centraal,"€2,22","€0,00",Reis,2,Dal Voordeel,,
08-01-2019,16:30,Den Haag Centraal,17:00,Leiden Centraal,"€3,70","€0,00",Reis,2,Dal Voordeel,,
12-01-2019,18:23,Leiden Centraal,19:13,Amsterdam Centraal,"€5,76","€0,00",Reis,2,Dal Voordeel,,
13-01-2019,01:10,Amsterdam Centraal,02:23,Leiden Centraal,"€5,76","€0,00",Reis,2,Dal Voordeel,,
17-01-2019,11:39,Leiden Centraal,13:15,Maarssen,"€6,72","€0,00",Reis,2,Dal Voordeel,,
17-01-2019,20:58,Maarssen,22:11,Leiden Centraal,"€6,72","€0,00",Reis,2,Dal Voordeel,,
18-01-2019,17:11,Leiden Centraal,18:04,Amsterdam Centraal,"€9,60","€0,00",Reis,2,Dal Voordeel,,
18-01-2019,18:07,Amsterdam Centraal,18:09,Amsterdam Centraal,"€0,00","€0,00",Reis,2,Dal Voordeel,,
18-01-2019,,,,,"€0,00","€20,00",Saldo opladen,,,,
18-01-2019,23:29,Amsterdam Centraal,00:11,Leiden Centraal,"€5,76","€0,00",Reis,2,Dal Voordeel,,
02-02-2019,,,,,"€0,00","€20,00",Saldo opladen,,,,
02-02-2019,18:48,Leiden Centraal,19:33,Amsterdam Bijlmer ArenA,"€5,52","€0,00",Reis,2,Dal Voordeel,,
02-02-2019,23:32,Amsterdam Zuid,00:13,Leiden Centraal,"€4,92","€0,00",Reis,2,Dal Voordeel,,
05-02-2019,11:33,Leiden Centraal,11:34,Leiden Centraal,"€0,00","€0,00",Reis,2,Dal Voordeel,,
07-02-2019,14:54,Sassenheim,15:22,Amsterdam Lelylaan,"€4,14","€0,00",Reis,2,Dal Voordeel,,
07-02-2019,16:47,Amsterdam Lelylaan,17:16,Sassenheim,"€6,90","€0,00",Reis,2,Dal Voordeel,,
07-02-2019,,,,,"€0,00","€20,00",Saldo opladen,,,,
13-02-2019,10:47,Leiden Centraal,11:09,Den Haag Centraal,"€2,22","€0,00",Reis,2,Dal Voordeel,,
13-02-2019,13:03,Den Haag Centraal,13:28,Leiden Centraal,"€2,22","€0,00",Reis,2,Dal Voordeel,,
